Issue Type,Issue ID,Parent ID,Summary,Epic Name,Story Points,Priority,Labels,Component,Sprint,Description,Blocked By,Blocked By,Blocked By
Story,1101,1100,"Đăng ký / đăng nhập, băm mật khẩu argon2id",,5,Highest,identity security,identity,Sprint 0,"h3. User story
Là khách mua vé, tôi muốn đăng ký và đăng nhập an toàn để mua vé bằng tài khoản của mình.

h3. Bối cảnh
Tài khoản là gốc cho mọi quy tắc giới hạn mua và công bằng hàng chờ.

h3. Phạm vi công việc
* API đăng ký, đăng nhập, đăng xuất
* Băm mật khẩu argon2id với tham số cấu hình được
* Rate-limit đăng nhập theo IP và tài khoản

h3. Tiêu chí nghiệm thu (AC)
# Không lưu mật khẩu dạng thường ở bất kỳ đâu (DB, log)
# Đăng nhập sai quá ngưỡng bị rate-limit
# Lỗi trả về theo RFC 7807, không tiết lộ tài khoản có tồn tại hay không

h3. Phụ thuộc
Cần hoàn thành trước: EVF-2 (libs/go/httpx: router, middleware và lỗi chuẩn RFC 7807), EVF-5 (Khung migration goose + schema khởi tạo)

h3. Tham chiếu
Mã backlog: EVF-10

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1002,1005,
Story,1102,1100,Xác thực OTP qua SMS/email trước khi xếp hàng,,5,Highest,identity antibot,identity,Sprint 1,"h3. User story
Là nền tảng, tôi muốn mọi người xếp hàng đều đã xác thực OTP để mỗi người thật chỉ có một chỗ.

h3. Bối cảnh
BR-Q3 yêu cầu token hàng chờ gắn với identity đã xác thực OTP, chặn việc tạo hàng loạt tài khoản ảo.

h3. Phạm vi công việc
* Gửi và xác minh OTP qua SMS/email (qua notification-svc)
* Giới hạn số lần gửi lại và thử sai
* Cờ otp_verified trên identity

h3. Tiêu chí nghiệm thu (AC)
# Chưa verify OTP thì POST /queue/join trả 403
# OTP hết hạn sau 5 phút, thử sai 5 lần thì khoá tạm
# Không gửi quá 3 OTP / 15 phút cho một số

h3. Phụ thuộc
Cần hoàn thành trước: EVF-10 (Đăng ký / đăng nhập, băm mật khẩu argon2id)

h3. Tham chiếu
Mã backlog: EVF-11 · BR-Q3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1101,,
Story,1103,1100,"JWT ngắn hạn + refresh token xoay vòng, thu hồi được",,5,Highest,identity security,identity,Sprint 0,"h3. User story
Là người dùng, tôi muốn phiên đăng nhập an toàn và có thể bị thu hồi khi token bị lộ.

h3. Bối cảnh
Token dài hạn bị lộ sẽ cho kẻ xấu chiếm chỗ trong hàng chờ; cần token ngắn hạn và phát hiện tái sử dụng refresh token.

h3. Phạm vi công việc
* Access token 15 phút, refresh token xoay vòng
* Phát hiện tái sử dụng refresh token cũ
* API thu hồi phiên
* libs/go/authx ký và xác minh token

h3. Tiêu chí nghiệm thu (AC)
# Access token hết hạn sau 15 phút
# Tái sử dụng refresh token cũ → vô hiệu toàn bộ chuỗi token
# Thu hồi phiên có hiệu lực ngay ở gateway

h3. Phụ thuộc
Cần hoàn thành trước: EVF-10 (Đăng ký / đăng nhập, băm mật khẩu argon2id)

h3. Tham chiếu
Mã backlog: EVF-12 · docs/02-kien-truc.md mục 5

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1101,,
Story,1104,1100,"Đăng ký device fingerprint, liên kết identity ↔ device",,3,High,identity antibot,identity,Sprint 1,"h3. User story
Là hệ thống anti-bot, tôi muốn biết một thiết bị gắn với bao nhiêu identity để phát hiện trang trại tài khoản.

h3. Bối cảnh
Rule R4 cần dữ liệu identity ↔ device; queue token cũng gắn device_id.

h3. Phạm vi công việc
* Nhận fingerprint từ client, chuẩn hoá và lưu bảng devices
* Liên kết identity ↔ device
* Phát tín hiệu khi 1 device gắn nhiều identity

h3. Tiêu chí nghiệm thu (AC)
# 1 device gắn > N identity trong 5 phút → phát tín hiệu cho antibot
# Fingerprint được băm, không lưu dữ liệu thô nhận dạng được

h3. Phụ thuộc
Cần hoàn thành trước: EVF-10 (Đăng ký / đăng nhập, băm mật khẩu argon2id)

h3. Tham chiếu
Mã backlog: EVF-13 · BR-Q3 · R4

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1101,,
Story,1105,1100,Phân quyền RBAC: Buyer / Organizer / Moderator / Ops,,5,High,identity security,identity,Sprint 1,"h3. User story
Là quản trị nền tảng, tôi muốn mỗi vai trò chỉ làm được đúng việc của mình để tránh thao tác trái phép.

h3. Bối cảnh
Ma trận quyền đã định nghĩa ở docs/01 mục 3.

h3. Phạm vi công việc
* Mô hình vai trò và quyền
* Claim role trong JWT, middleware kiểm tra quyền
* Organizer chỉ thao tác sự kiện của mình

h3. Tiêu chí nghiệm thu (AC)
# Toàn bộ ma trận quyền trong docs/01 được phủ bằng test
# Truy cập trái quyền trả 403 và ghi audit_log

h3. Phụ thuộc
Cần hoàn thành trước: EVF-12 (JWT ngắn hạn + refresh token xoay vòng, thu hồi được)

h3. Tham chiếu
Mã backlog: EVF-14 · docs/01-nghiep-vu.md mục 3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1103,,
Task,1106,1100,Mã hoá PII ở tầng cột + lọc PII khỏi log,,3,High,security compliance,identity,Sprint 1,"h3. Bối cảnh
Số điện thoại, email là dữ liệu cá nhân; phải mã hoá khi lưu và không bao giờ xuất hiện dạng thường trong log.

h3. Phạm vi công việc
* Mã hoá cột phone, email (khoá quản lý qua Vault/External Secrets)
* Cột băm để tra cứu
* Bộ lọc PII trong logger dùng chung

h3. Tiêu chí nghiệm thu (AC)
# grep log không tìm thấy số điện thoại/email dạng thường
# Dump DB không đọc được PII khi thiếu khoá

h3. Phụ thuộc
Cần hoàn thành trước: EVF-10 (Đăng ký / đăng nhập, băm mật khẩu argon2id)

h3. Tham chiếu
Mã backlog: EVF-15 · docs/02-kien-truc.md mục 5

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1101,,
Epic,1200,,E3 – Sự kiện & Kiểm duyệt,E3 Sự kiện,,High,event,event,,"h3. Mục tiêu
Cho Organizer tạo và vận hành sự kiện theo đúng state machine, có kiểm duyệt AI + con người trước khi mở bán.

h3. Phạm vi
* CRUD sự kiện, hạng vé, state machine (BR-E1)
* Lịch mở bán, khoá giảm quota (BR-E2, BR-E3)
* Kiểm duyệt AI bất đồng bộ + hàng đợi Moderator (BR-E4, BR-E5)
* Trang sự kiện ISR phục vụ từ CDN

h3. Tiêu chí hoàn thành epic
# Mọi chuyển trạng thái sai bị từ chối kèm lỗi rõ ràng
# Mọi quyết định AI có audit_log và lật ngược được
# Trang sự kiện 0 query DB khi cache hit

h3. Rủi ro chính
Trang sự kiện chạm DB tại T0 sẽ làm sập Postgres trước cả khi hàng chờ hoạt động.",,,
Story,1201,1200,"CRUD sự kiện + hạng vé, state machine DRAFT → … → COMPLETED",,8,Highest,event,event,Sprint 1,"h3. User story
Là Ban tổ chức, tôi muốn tạo và quản lý sự kiện cùng các hạng vé để đưa sự kiện lên bán.

h3. Bối cảnh
Vòng đời sự kiện theo docs/01 mục 2.1; BR-E1 yêu cầu có ≥ 1 hạng vé hợp lệ mới được SCHEDULED.

h3. Phạm vi công việc
* API CRUD sự kiện, hạng vé
* State machine đầy đủ các trạng thái và chuyển tiếp hợp lệ
* Phát domain event khi đổi trạng thái

h3. Tiêu chí nghiệm thu (AC)
# Chuyển trạng thái sai bị từ chối kèm lỗi rõ ràng
# Có test bảng trạng thái (mọi cặp from → to)
# Không SCHEDULED được khi chưa có hạng vé quota > 0, price >= 0

h3. Phụ thuộc
Cần hoàn thành trước: EVF-5 (Khung migration goose + schema khởi tạo), EVF-14 (Phân quyền RBAC: Buyer / Organizer / Moderator / Ops)

h3. Tham chiếu
Mã backlog: EVF-20 · BR-E1

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1005,1105,
Story,1202,1200,"Cấu hình lịch mở bán, ràng buộc T0 ≥ thời điểm duyệt + 30 phút",,3,Highest,event,event,Sprint 1,"h3. User story
Là Ban tổ chức, tôi muốn đặt giờ mở bán để khách biết khi nào vào xếp hàng.

h3. Bối cảnh
BR-E2: cần tối thiểu 30 phút để hệ thống pre-warm hạ tầng trước T0.

h3. Phạm vi công việc
* Trường sale_start_at, sale_end_at
* Validate ràng buộc 30 phút
* Phát sự kiện lịch mở bán cho CronJob pre-warm

h3. Tiêu chí nghiệm thu (AC)
# Đặt T0 gần hơn 30 phút so với thời điểm duyệt bị từ chối
# Thay đổi lịch sau khi SCHEDULED được ghi audit_log

h3. Phụ thuộc
Cần hoàn thành trước: EVF-20 (CRUD sự kiện + hạng vé, state machine DRAFT → … → COMPLETED)

h3. Tham chiếu
Mã backlog: EVF-21 · BR-E2

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1201,,
Story,1203,1200,Khoá không cho giảm quota sau khi ON_SALE,,3,Highest,event ticketing,event,Sprint 1,"h3. User story
Là nền tảng, tôi muốn cấm giảm quota khi đang bán để không phát sinh oversell.

h3. Bối cảnh
BR-E3: sau ON_SALE chỉ được tăng quota; tăng quota phải đồng bộ sang kho.

h3. Phạm vi công việc
* Chặn giảm quota khi ON_SALE
* Tăng quota phát sự kiện inventory.increased
* Ticketing nhận sự kiện và cộng kho vào các bucket

h3. Tiêu chí nghiệm thu (AC)
# Giảm quota khi ON_SALE trả 409
# Tăng quota phát event inventory.increased và kho tăng tương ứng

h3. Phụ thuộc
Cần hoàn thành trước: EVF-20 (CRUD sự kiện + hạng vé, state machine DRAFT → … → COMPLETED), EVF-30 (Schema tồn kho phân mảnh 32 bucket/hạng vé + CHECK (available >= 0))

h3. Tham chiếu
Mã backlog: EVF-22 · BR-E3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1201,1301,
Story,1204,1200,"Đẩy job kiểm duyệt AI khi submit, nhận kết quả bất đồng bộ",,5,High,event ai,event,Sprint 4,"h3. User story
Là Ban tổ chức, tôi muốn gửi duyệt sự kiện và nhận kết quả sớm mà không phải chờ.

h3. Bối cảnh
Kiểm duyệt chạy qua ai.moderation.q; kết quả quyết định AUTO_APPROVED / NEEDS_HUMAN / AUTO_REJECTED.

h3. Phạm vi công việc
* Submit chuyển PENDING_REVIEW và publish job lên ai.moderation.q
* Consumer nhận kết quả, cập nhật trạng thái theo ngưỡng
* Lưu moderation_reviews

h3. Tiêu chí nghiệm thu (AC)
# Submit trả ngay 202
# Kết quả về bất đồng bộ cập nhật đúng trạng thái theo ngưỡng BR-E4
# AI lỗi/timeout → NEEDS_HUMAN, không kẹt ở PENDING_REVIEW

h3. Phụ thuộc
Cần hoàn thành trước: EVF-20 (CRUD sự kiện + hạng vé, state machine DRAFT → … → COMPLETED), EVF-89 (Kiểm duyệt sự kiện: structured JSON output, chấm 4 trục, ngưỡng định tuyến)

h3. Tham chiếu
Mã backlog: EVF-23 · BR-E4

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1201,1610,
Story,1205,1200,Hàng đợi việc cho Moderator: duyệt / từ chối / lật ngược quyết định AI,,5,High,event moderation,event,Sprint 4,"h3. User story
Là Moderator, tôi muốn danh sách sự kiện cần xem xét cùng lý do AI để ra quyết định nhanh và chính xác.

h3. Bối cảnh
BR-E5: mọi quyết định AI ghi audit_log và luôn có thể bị Moderator lật ngược.

h3. Phạm vi công việc
* API + UI danh sách NEEDS_HUMAN, kèm điểm 4 trục và lý do AI
* Hành động duyệt, từ chối, lật ngược quyết định tự động
* Ghi audit_log

h3. Tiêu chí nghiệm thu (AC)
# Mọi lần lật ngược quyết định AI đều ghi audit_log kèm lý do bắt buộc
# Chỉ vai trò Moderator thao tác được

h3. Phụ thuộc
Cần hoàn thành trước: EVF-23 (Đẩy job kiểm duyệt AI khi submit, nhận kết quả bất đồng bộ), EVF-14 (Phân quyền RBAC: Buyer / Organizer / Moderator / Ops)

h3. Tham chiếu
Mã backlog: EVF-24 · BR-E5

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1204,1105,
Story,1206,1200,"Trang sự kiện công khai render ISR, phục vụ từ CDN",,5,Highest,event frontend scale,event,Sprint 2,"h3. User story
Là khách, tôi muốn trang sự kiện tải tức thì kể cả lúc hàng trăm nghìn người cùng vào.

h3. Bối cảnh
Tầng 1 của chiến lược scale: trang sự kiện phải tĩnh 100%, không chạm backend tại T0.

h3. Phạm vi công việc
* API snapshot sự kiện cho ISR
* Revalidate khi sự kiện thay đổi
* Tình trạng vé hiển thị dạng khoảng từ snapshot cache 5s

h3. Tiêu chí nghiệm thu (AC)
# Trang sự kiện 0 query DB khi cache hit
# Số vé hiển thị dạng khoảng (còn nhiều / sắp hết), không lộ tồn kho chính xác

h3. Phụ thuộc
Cần hoàn thành trước: EVF-20 (CRUD sự kiện + hạng vé, state machine DRAFT → … → COMPLETED)

h3. Tham chiếu
Mã backlog: EVF-25 · docs/02-kien-truc.md Tầng 1 · BR-A4

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1201,,
Task,1207,1200,Upload ảnh sự kiện lên object storage + sinh biến thể,,2,Medium,event,event,Sprint 6,"h3. Bối cảnh
Ảnh sự kiện phục vụ qua CDN với nhiều kích thước để tối ưu băng thông.

h3. Phạm vi công việc
* Presigned URL upload lên MinIO/S3
* Sinh 3 biến thể kích thước
* Kiểm tra định dạng và dung lượng

h3. Tiêu chí nghiệm thu (AC)
# Ảnh được resize 3 kích thước, phục vụ qua CDN
# File sai định dạng hoặc quá dung lượng bị từ chối

h3. Phụ thuộc
Cần hoàn thành trước: EVF-20 (CRUD sự kiện + hạng vé, state machine DRAFT → … → COMPLETED)

h3. Tham chiếu
Mã backlog: EVF-26

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1201,,
Epic,1300,,E4 – Ticketing & Chống oversell,E4 Ticketing,,Highest,ticketing critical,ticketing,,"h3. Mục tiêu
Giữ ghế, đặt vé và phát vé dưới tải cao với bất biến tuyệt đối: KHÔNG BAO GIỜ bán quá quota (BR-O1).

h3. Phạm vi
* Kho phân mảnh 32 bucket + CHECK available >= 0
* Redis Lua gate + Postgres transaction
* Idempotency-Key, giới hạn mua
* Hold sweeper, outbox, đối soát tồn kho
* Phát hành vé QR HMAC, check-in

h3. Tiêu chí hoàn thành epic
# EVF-39 chạy 200 lần trong CI: 0 oversell, 0 under-sell
# Metric inventory_drift về 0 trong ≤ 20s sau khi cố ý làm lệch
# Không double-release khi chạy 2 sweeper song song

h3. Rủi ro chính
Epic rủi ro cao nhất. Một lần oversell là sự cố nghiêm trọng về uy tín và pháp lý.",,,
Story,1301,1300,Schema tồn kho phân mảnh 32 bucket/hạng vé + CHECK (available >= 0),,5,Highest,ticketing db critical,ticketing,Sprint 0,"h3. User story
Là nền tảng, tôi muốn tồn kho được phân mảnh và ràng buộc ở tầng schema để không thể âm kho dưới tải cao.

h3. Bối cảnh
Hàng nghìn transaction cùng UPDATE một dòng sẽ gây lock contention; phân 32 bucket giảm contention 32 lần. CHECK là chốt chặn cuối cùng.

h3. Phạm vi công việc
* Bảng ticket_inventory(ticket_type_id, bucket, available) với CHECK (available >= 0)
* Hàm chia quota vào 32 bucket
* Index phục vụ truy vấn theo bucket

h3. Tiêu chí nghiệm thu (AC)
# Constraint chặn được mọi UPDATE làm âm tồn kho
# Tổng available của 32 bucket luôn bằng quota ban đầu

h3. Phụ thuộc
Cần hoàn thành trước: EVF-5 (Khung migration goose + schema khởi tạo)

h3. Tham chiếu
Mã backlog: EVF-30 · BR-O1 · docs/02-kien-truc.md mục Chống oversell

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1005,,
Story,1302,1300,"Redis Lua inventory gate: hold atomic, giảm tồn, ghi ZSET hết hạn",,8,Highest,ticketing redis critical,ticketing,Sprint 1,"h3. User story
Là nền tảng, tôi muốn chặn phần lớn request thua ngay tại Redis để Postgres chỉ nhận request có khả năng thành công.

h3. Bối cảnh
Lớp 1 trong 2 lớp chống oversell: Lua atomic giảm tồn, tạo hold và ghi hạn hết vào ZSET.

h3. Phạm vi công việc
* hold.lua: kiểm tra và giảm available, HSET hold, ZADD holds:{ev}
* release.lua trả kho
* Nạp script có SHA cache qua libs/go/redisx

h3. Tiêu chí nghiệm thu (AC)
# Script atomic, không race khi chạy song song
# Benchmark < 0.5 ms p99
# Hết hàng trả SOLD_OUT, không giảm kho

h3. Phụ thuộc
Cần hoàn thành trước: EVF-30 (Schema tồn kho phân mảnh 32 bucket/hạng vé + CHECK (available >= 0))

h3. Hiện trạng mã nguồn
Đã có internal/adapter/redis/gate.go, script/hold.lua, release.lua.

h3. Tham chiếu
Mã backlog: EVF-31 · BR-O1

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1301,,
